objectid,filename,title,transliteration,synonym,language,format,description,subject,date,shelfmark,source,link,creative commons,rights,rightsstatement,citation
ccg0080,qintar_file.jpg,qinṭār,قنطار קנטאר,"qanṭār, cantaro",,image/jpeg,"Unit of weight across the medieval and early modern periods for which Goldberg notes, ""a qinṭār is a hundred raṭls or a hundred weight (50 kilograms)"" (Goldberg, xix). This usage is also confirmed in the early modern period by Trivellato, who notes that ""the cantaro (pl. cantari) was a measure used across the Mediterranean for bulk goods. It usually equaled 100 local pounds or was simply a hundredweight"" (Trivellato, xii).",unit of weight; Medieval and Early Modern,,JRL Gaster ar. 186 line 5 (upper); ENA 2950.28 line 2 (lower),John Rylands Library - The University of Manchester; Jewish Theological Seminary Library,https://luna.manchester.ac.uk/luna/servlet/detail/ManchesterDev~95~2~182468~208945?sort=reference_number%2Cdate_created&qvq=q:gaster%20ar.%20186;sort:reference_number%2Cdate_created&mi=0&trs=1,,Image courtesy of the John Rylands Library and modified in keeping with CC-4.0 International – Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goldberg, Jessica. Trade and Institutions in the Medieval Mediterranean: the Geniza Merchants and their Business World. Cambridge: Cambridge University Press, 2012.

►Trivellato, Francesca. The Familiarity of Strangers: The Sephardic Diaspora, Livorno, and Cross-Cultural Trade in the Early Modern Period. New Haven: Yale University Press, 2009."
ccg0081,qirat_file.jpg,qīrāṭ ,قيراط קיראט,,,image/jpeg,"Unit of account that ""was subdivided into three ḥabbas, or grains, and six dānaqs. In different areas and periods these subdivisions had varying values; those indicated here are the ones found in Geniza documents. The 1/24, 1/72, and 1/144 dinars mentioned in this book refer to qīrāṭ, ḥabbas, and dānaqs, respectively"" (Goitein, A MS I, 359). For the paleography of this unit see especially: Goldberg, 422-425.",unit of account,,T-S AS 152.37r line 3,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Goldberg, Jessica L. ""Lists."" Jewish History 32.2 (2019): 419-428."
ccg0082,qita_file.jpg,qit'a,قطعة קטעה,,,image/jpeg,"Unit of measurement in shipping goods that Goldberg notes was ""a section, usually a smaller package contained in a bale"" (Goldberg, 364).",unit; Medieval,,T-S 8J7.23v line 14,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goldberg, Jessica. Trade and Institutions in the Medieval Mediterranean: the Geniza Merchants and their Business World. Cambridge: Cambridge University Press, 2012."
ccg0083,rasta_file.jpg,rasta,رسته רסתה רשטה,,Ottoman Turkish,image/jpeg,"Ornamental ""chain of coins"" worn in the Ottoman Empire and here attested in an early modern dowry list (Ben-Naeh, 51).",coin; material culture; Early Modern,,ENA NS 29.9r line 10,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Ben-Naeh, Yaron. Jews in the Realm of the Sultans: Ottoman Jewish Society in the Seventeenth Century. Heidelberg: Mohr Siebeck, 2008."
ccg0084,ratl_file.jpg,raṭl,رطل רטל,,,image/jpeg,"Unit of weight across the medieval and early modern periods of approximately 450 grams that Goldberg frames proportionally: ""wuqiyya can be read as ounces, raṭls as pounds, and manns as two pounds (or one kilogram). A qinṭār is a hundred raṭls, or a hundredweight (50 kilograms)"" (Goldberg, xix), Goitein also offers a helpful overview in this vein: ""the basic weight was the dirhem (not to be confused with the coin bering the same name) weighing 3.125 grams. The common pound of Fustat, raṭl, consisted of 144 dirhems (or 12 ounces, ūqiya, of 12 dirhems) approximately 450 grams) (Goitein, MS I, 360).",unit of weight; Medieval and Early Modern,,T-S Ar.39.449v line 2 (upper); T-S 8J8.9 line 3 (lower),Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Goldberg, Jessica. Trade and Institutions in the Medieval Mediterranean: the Geniza Merchants and their Business World. Cambridge: Cambridge University Press, 2012."
ccg0085,rawbaj_file.jpg,rawbaj,روبج רובג,,,image/jpeg,"Coin of southern India that Goitein calculated in the mid-twelfth century to have a value of 3.5 Indian half dirhams (Goitein and Friedman, 645). In his unpublished notes, Goitein observed that ""the common coin of the Malabar coast was called fīlī.... the fīlī is subdivided into fanam.... other subdivisions of the Fili are a) rawbaj, a word registered in the Ar. dictionaries, but not defined, and b) hafsawāt"" (Goitein, India Book Notes, 4C.2.7 page 6) ",coin; Medieval; Malabar Coast; Indian Ocean,,T-S 20.137 line 11,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goitein, S.D. India Book Notes. 4C.2.7. Goitein's Nachlass. Princeton Geniza Lab.

►Goitein, S.D. Mordechai Friedman. India Traders of the Middle Ages: Documents from the Cairo Geniza 'India Book'. Leiden: Brill, 2007."
ccg0086,riyal_file.jpg,reales,ريال ריאליס ריאליש ריאל,,Judaeo-Spanish,image/jpeg,"Silver coin first minted in Spain by the reign of Pedro I of Castile (r. 1350-1369 CE) that began to circulate widely around the Mediterranean after 1497 when it became the central unit of silver coinage in the Spanish Empire (O'Callaghan, 486). In Egypt the real was known as: riyāl or riyāl kuruş (Pamuk, 99; Raymond, 23). On occasion Geniza documents will name the city in which Spanish reales were minted such as in AIU VII.D.90 where Seville-reales ""ריאליס שיבילייאנוס"" are in use (l.4r). Across the eighteenth and nineteenth centuries, it is crucial to note that ""ריאליש"" or ""ריאלים"" can reference an immaterial unit of account rather than Spanish coinage. The fictive rīyāl can often be identified because it was pegged at a fixed ratio of 1:90 medin/para (Cuno, 211). For the formation of the Spanish imperial currency, Tortella and García Ruiz note, ""the monetary system – the set of monetary units – which Spain used through the early modern period well into the nineteenth century was created by Ferdinand and Isabella, the Catholic Monarchs, at the close of the Middle Ages.... The Catholic Monarchs found a chaotic monetary situation upon their joint assumption of the crown.... Their monetary reform of 1497 established a trimetallic system whose main units were the excelente, a gold coin (also called ducat, escudo, or doblón); the real de plata, a silver coin (later known as real de a ocho, peso duro, thaler, or dollar) and the blanca, a vellón coin.... Vellón is... an alloy of copper and silver"" (Tortella and García Ruiz, 6-7).","coin; Medieval and Early Modern, Spanish",1350,ENA NS 50.8r line 4,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Cuno, Kenneth. The Pasha's Peasants: Land, Society, and Economy in Lower Egypt, 1740-1858. Cambridge: Cambridge University Press, 1992.

►O'Callaghan, Joseph F. A History of Medieval Spain. Ithaca: Cornell University Press, 1975.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000.

►Raymond, André. Artisans et commerçants au Caire au XVIIIe siècle Vols. I-II. Damascus: Institute Français, 1973.

►Tortella, Gabriel. José Luis García Ruiz. Spanish Money and Banking: A History. Springer, 2013."
ccg0087,rizma_file.jpg,rizma,رزمة רזמה,,,image/jpeg,"Unit of measurement equivalent to a ""bundle"" or ""bale"" (Goldberg, 425).",unit of measurement; Medieval,,T-S 12.372v line 12,Cambridge University Library,,yes,,,"►Goldberg, Jessica L. ""Lists."" Jewish History 32.2 (2019): 419-428."
ccg0088,realesabutaqa_file.jpg,reales abūṭāqa,ريال ابو طاقة ריאליס אבותאקה ,"rīyāl abū ṭāqa, baṭāqa, pataqa, abū ṭāqa",,image/jpeg,"A term for Austrian thalers, which first began to circulate broadly in Egypt by the turn of the eighteenth century. Raymond proposed that their earliest appearance in the qadi court registers of Cairo was in 1703, noting that they were referred to interchangeably as: ""abū ṭāqa... baṭaqa pataque."" (Raymond, 23; see also: Cuno, 211). Azab explains that the aesthetic explanation behind the Austrian thaler's label in Arabic ""ابو طاقة"" (father of the little window) may be connected to the structure of the Habsburg crest, which was ""divided in four parts, a symbol that somewhat resembled the squares of a window with iron bars commonly used in Egypt"" (Azab, 10).",coin; Early Modern; Austrian,,T-S 6J2.34 line 4 ,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Azab, Khalid Mohammed. ""Overview of Economic Relaitons Between the Islamic World and the West."" مجلة المجمع العلمي المصري 92, no. 92 (2017): 1-12.

►Cuno, Kenneth. The Pasha's Peasants: Land, Society, and Economy in Lower Egypt, 1740-1858. Cambridge: Cambridge University Press, 1992.

►Raymond, André. Artisans et commerçants au Caire au XVIIIe siècle Vols. I-II. Damascus: Institute Français, 1973."
ccg0089,salfa_file.jpg,salfa,سلفة סלפה,,,image/jpeg,"A term for shipping fees that is attested widely in medieval Geniza merchant letters (Gil, 279-280).",Medieval,,Or.1080 J291r line 13,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Gil, Moshe. ""Shipping in the Mediterranean in the Eleventh Century AD as Reflected in Documents from the Cairo Geniza."" Journal of Near Eastern Studies 67.4 (2008): 247-292."
ccg0090,sherifi_file.jpg,sherīfī,شريفي שריפי,"altın, dīnār, ḥaṣāne-i sulṭānīye, sequin cherif, sulṭānī",Arabic,image/jpeg,"Gold coin minted in Ottoman Egypt by 1520CE as the succesor of Mamluk ashrafi. The Ottoman Empire's sherifi and sultani gold coins were intended to exchange at parity with Venetian ducats (Raymond, Artisans et Comerçants au Caire, 28; Pamuk, 64, 97-98, 167, 174). Nicol notes, ""The earliest Ottoman gold coinage dates from late in the reign of Mehmed II, the sulṭānī having been struck in Istanbul (Ḳusṭanṭīniyya) mint bearing the years 882AH, 883AH, 885AH. Mehmed's succesor, Bayezid II issued coins struck both in Ḳusṭanṭīniyya and Serez, but only dated with the accessional year of 886 AH. Selim I had gold struck in numerous mints, including Miṣr (Cairo) after the conquest of Egypt, which brought the Ottoman régime abundant supplies of the metal. The Egyptian emissions were produced in two parallel series, one modeled in the syle of the former Mamlūk dinars [sherīfī] and the other in that of other Ottoman mints [sulṭānī]"" (Nicol, 221).",coin; Ottoman; Early Modern,1477,ENA 3956.22r line 5 (upper); T-S 20.67r line 30 (lower),Cambridge University Library; Jewish Theological Seminary Library,,yes,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0 (upper); Image courtesy of Cambridge University Library (lower),https://creativecommons.org/publicdomain/zero/1.0/,"►Nicol, Norman D. ""The Post-Ottoman Conquest Coinage of Egypt."" in The 2nd Simone Assemani Symposium on Islamic Coins. Bruno Callegher and Arianna D'Ottone. eds. Trieste: Edizioni Università di Trieste, 2010. 220-230.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0091,sholali_file.jpg,Sholalī,שולאלי,,"Hebrew, Judaeo-Arabic",image/jpeg,"Coinage that was minted according to standards that were implemented by the Nagid Yiṣḥaq Sholal during his time as the head of the Mamluk imperial mint in Cairo between 1513-1517 CE (Shtober, 88). The image for this entry includes the broader phrase in Hebrew: ""perchei' zahav Sholali'""– which highlights the fact that coins known as ""flowers"" could also be minted in Mamluk and Ottoman contexts (although the term likely traces back to the standards of the florin). ",mint standard; Mamluk; Nagid,1513,T-S 20.161r line 27,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"► Shtober, Simon. ""'On the Issue of Customs Collectors in Egypt'– Jews as Tax Farmers in Ottoman Egypt"" (Hebrew). Pe'amim: Studies in Oriental Jewry 38 (1989): 68-94."
ccg0092,soldi_file.jpg,sold(i),סולד סולדי שולדי ,,Italian,image/jpeg,"Unit of account that was widely used across the medieval and early modern periods as part of a ratio-based monetary system of pieces, soldi, and denari (together constituting the lira di piccoli system). The term soldi was also used generically as a term for any type of cash. In the example for this entry soldi is truncated by dropping the letter yod and bears an alphanumerical designation of 24 (כד) sold[i]. Stahl notes that ""from about 820 until about 1200, the Venetian mint issued a single denomination of coinage, the silver denaro, based on the Carolingian denarius and accounted it in a system in which 12 denari were counted as a soldo and 20 soldo as a lira"" (Stahl, 1). Along these lines, Trivellato notes that ""accounts were kept in pieces, soldi, and denari. By convention in a monetary system that is not in decimal form, a colon rather than a dot separates each fraction of value. That is, 50:4:2 means 50 pieces of eight, 4 soldi, and 2 denari"" (Trivellato, xi). ",unit of account; Medieval and Early Modern,,ENA 1066.3r line 1,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Stahl, Alan M. ""Venetian Coinage and Money of Account: An Introduction for Researchers."" News on the Rialto: Newsletter for Venetian Studies 35 (2016): 18-20.

►Trivellato, Francesca. The Familiarity of Strangers: The Sephardic Diaspora, Livorno, and Cross-Cultural Trade in the Early Modern Period. New Haven: Yale University Press, 2009."
ccg0093,soldino_file.jpg,soldino,سولدينو סולדינו,,Italian,image/jpeg,"Silver alloy coin minted by the Venetian Republic by the 1330s CE that marked a key shift away from domestic reliance on the silver grosso. As Stahl notes, ""soon after 1330, Venice switched the basis of its domestic circulation from the fine silver grosso to the baser alloyed soldino, while continuing to mint the grosso as a trade coin"" (Stahl, 45).",coin; Venetian; Medieval; currently unattested,1330,Currently Unattested in the Cairo Geniza,,,,,,"►Stahl, Alan M. ""The Venetian Mint in the Age of the Black Death."" in Material Culture and Cultural Materialisms. Curtis Perry. ed. Brepols, 2001. 41-57."
ccg0094,stamenon_file.jpg,stamenon,στάμενον,trachy,Greek,image/jpeg,"Silver coin minted in the Byzantine empire beginning in 1092 CE when the monetary reforms yielded a system in which ""a gold hyperpyron replaced the old histamenon, although it was of the traditional weight (4.5g) it was only 20.5 carats fine. Beneath it was the an electrum [alloy] third hyperpyron, in some sort of revival of the old tremissis, of the same weight as the full hyperpyron but only about 6 carats fine.... The third denomination, known as the trachy or stamenon and of pour quality billon (c.6/7 per cent silver), was worth 1/16th of the third hyperpyron and 1/48th of the full hyperpyron. Finally, at the bottom of the scale were two flat copper coins, the tetarteron and half tetarteron, much smaller than the old follis"" (Grierson, 215).",coin; Byzantine; Medieval; currently unattested,1092,Currently Unattested in the Cairo Geniza,,,,,,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0095,stavraton_file.jpeg,stavraton,σταυράτον,,Greek,image/jpeg,"Silver coin minted in the Byzantine Empire that replaced the gold hyperpyron between 1350-1453CE when ""the gold hyperpyron disappeared, to be replaced by a heavy silver coin worth half an hyperpyron which from the initial cross of its inscription was known as a stavraton. The new coin, the heaviest silver coin to be struck for regular use in the entire Byzantine period, was accompanied by fractions, its half and its eighth, which took the place of the basilicon"" (Grierson, 278-279).",coin; Byzantine; Medieval; currently unattested,,Currently Unattested in the Cairo Geniza,,,,,,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0096,sultani_file.jpg,sulṭānī,سلطاني סלטאני שלטאני,"altın, ḥaṣāne-i sulṭānīye, şerīfī, sequin cherif, sulṭānī",Arabic,image/jpeg,"Gold coin minted that was the Ottomans' earliest in this metal, although they were also minting imitations of Venetian ducats by 1477CE (Pamuk, 60-61). Nicol notes, ""The earliest Ottoman gold coinage dates from late in the reign of Mehmed II, the sulṭānī having been struck in Istanbul (Ḳusṭanṭīniyya) mint bearing the years 882AH, 883AH, 885AH. Mehmed's succesor, Bayezid II issued coins struck both in Ḳusṭanṭīniyya and Serez, but only dated with the accessional year of 886 AH. Selim I had gold struck in numerous mints, including Miṣr (Cairo) after the conquest of Egypt, which brought the Ottoman régime abundant supplies of the metal. The Egyptian emissions were produced in two parallel series, one modeled in the syle of the former Mamlūk dinars and the other in that of other Ottoman mints."" (Nicol, 221) A helpful date for ruling out the Ottoman sulṭānī in Geniza documentation is 1697CE when a flood of alternative gold coin types were released within the Ottoman monetary system (Pamuk, 167).",coin; Ottoman; Early Modern,1477,ENA 3904.2r line 3,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Nicol, Norman D. ""The Post-Ottoman Conquest Coinage of Egypt."" in The 2nd Simone Assemani Symposium on Islamic Coins. Bruno Callegher and Arianna D'Ottone. eds. Trieste: Edizioni Università di Trieste, 2010. 220-230.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0097,tari_file.jpg,tarì (pl. tarīm),طري טרי טריים,,"Arabic, Hebrew",image/jpeg,"Gold coin minted under Norman rulers of sourthern Italy by the turn of the eleventh century onwards to imitate the standards of quarter dīnār coinage that was produced in Fatimid Sicily across the 900s. As an imitation, the Norman tarì often included pseudo-kufic inscriptions and the term itself in Latin derives from the Arabic ""طري"" meaning ""fresh"" or, contextually, ""freshly minted."" In the example for this entry tarì appears with a Hebrew plural ending. Day notes that ""by the middle of the tenth century, payments not only in Salerno but also in Amalfi and Naples were rendered almost exclusively in tari. Before the last quarter of the century, stipulations for payment to be rendered in tari referred to the Arab quarter-dīnār, and thereafter such stipulations referred also to their southern Italian imitations. What this reflects is the definitive abandonment of the silver denarius in southern Italy, or at any rate Campania, and the first genuine 'return to gold' in Western Christendom"" (Day, 43-44). ",coin; Medieval; Norman,,T-S 13J16.11r line 12,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Day Jr., William R. ""The monetary reforms of Charlemagne and the circulation of money in early medieval Campania."" Early Medieval Europe 6.1 (1997): 25-45."
ccg0098,tetarteron_file.jpeg ,tetarteron ,τεταρτηρόν,,Greek,image/jpeg,"Gold and later copper coin minted in the Byzantine Empire that initially held ""the same weight as the Muslim dinar,"" in Greek tetarteron ""fourth part"" or simply a ""quarter"", the tetarteron represented a new debased version of the Byzantine gold nomisma beginning in the 10-11th centuries, the other debased version of the nomisma was the heavier histamena. Grierson also notes that the tetarteron ceased to represent the nomisma in 1092CE: ""Alexius I subsequently debased the nomisma out of existence, and a fresh start, with a new coin known as the hyperpyron, of the same weight as the traditional nomisma but only 20.5 carats fine and unaccompanied by any tetarteron, had to be made in 1092 (Grierson, 196-197). It appears that with the 1092CE Byzantine monetary reforms the tetarteron came to reference copper coinage: ""a gold hyperpyron replaced the old histamenon, but although it was of the traditional weight (4.5g) it was only 20.5 carats fine. Beneath it was the an electrum [alloy] third hyperpyron, in some sort of revival of the old tremissis, of the same weight as the full hyperpyron but only about 6 carats fine.... The third denomination, known as the trachy or stamenon and of pour quality billon (c.6/7 per cent silver), was worth 1/16th of the third hyperpyron and 1/48th of the full hyperpyron. Finally, at the bottom of the scale were two flat copper coins, the tetarteron and half tetarteron, much smaller than the old follis"" (Ibid, 215).",coin; Byzantine; Medieval; currently unattested,,Currently Unattested in the Cairo Geniza,,,,,,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0099,tugrali_file.jpg,tuğralı,طغرالى טגראלי,,Ottoman Turkish,image/jpeg,"Gold coin minted in the Ottoman Empire beginning in 1697 CE. The term ""tuğralı"" translates as bearing the Sultan's ""monogram"" which was a common feature of most Ottoman coins but in this case was the definining charateristic for the coin's nomenclature. Pamuk notes that, ""In the place of the sultani, a number of new gold coins called tugrali, cedid Istanbul, zincirli, findik and zer-i mahbub were initiated between 1697 and 1728. All but the last of these started close to the standards of the ducat."" Pamuk also notes that the versions of these coins minted in Istanbul generally held more value in exchange rates than those minted in Egypt (Pamuk, 167-168).",coin; Ottoman; currently unattested,1697,Currently Unattested in the Cairo Geniza,,,,,,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0100,ungaros_file.jpg,ungaros,انگروسية,"engurissīyye, forint","Spanish, Ottoman Turkish",image/jpeg,"Gold coin minted in Hungary from the 14th-19th centuries near parity or as a debased version of the Venetian ducat (and the Florentine florin until it ceased production in 1533 CE). For exchange rates listed across this timespan, see: Pamuk, 64. Buza notes that ""the Ottoman advance divided the Kingdom of Hungary into three parts: in the north Royal Hungary lay under the jurisdiction of the House of Habsburg, in the east a new state, the Principality of Transylvania was formed, and the central and southern parts of the medieval Hungarian Kingdom fell under direct Ottoman rule.... Despite their advance the Ottomans were unable to seize the centres of coinage in Hungary.... This mean that the Hungarian golden florin (also known as the Hungarian ducat... continued to be minted even during the period of Ottoman rule in Hungary"" (Buza, 34).",coin; Hungary; Medieval and Early Modern,,T-S Ar.34.318r line 3,Cambridge University Library,,no,Image courtesy of Cambridge University Library,,"►Buza, János. ""The exchange rates of the Hungarian and Turkish ducats in the mid-16th century."" Acta Orientalia 60, no. 1 (2007): 33-54.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0101,uqiya_file.jpg,ūqīya (pl. āwāq),أوقية وقية اواق אוקיה אואק,,Judaeo-Arabic,image/jpeg,"Unit of weight in the medieval period that Goldberg notes ""can be read as ounces"" in direct proportion to ""raṭls as pounds, and manns as two pounds (or one kilogram)"" (Goldberg, xix). It is crucial to note that this term for a unit of weight came to indicate a far higher value than ounces in the Ottoman Empire. The Ottoman ""vukiye"", ""okka"", and ""oke"" equalled 1.28 kilograms (Pamuk, 157).",unit of weight; Medieval and Early Modern,,T-S AS 151.273r line 4,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goldberg, Jessica. Trade and Institutions in the Medieval Mediterranean: the Geniza Merchants and their Business World. Cambridge: Cambridge University Press, 2012.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0102,wariqdirham_file.jpg,wariq dirham ,من الورق מן אלורק,,"Judaeo-Arabic, Arabic",image/jpeg,"A variant of the medieval dirham that was of lower silver content and is sometimes referred to interchangeably as dirham aswad in Judeo-Arabic and kesafīm sheḥorīm in Hebrew. This form of coinage took its name from the discoloration of silver that had been alloyed with copper, tin, and other metals to produce what is known today in English as billon alloy. The silver content of wariq dirhams was commonly 33% or less. Bresc also notes, that ""during the thirteenth century, the majority of the bulk of silver produced in Egypt consisted of these dirham aswad whose coinage ended under the rule of the Sultan al-Kamil [in 1225 CE]"" (Bresc, 410-411; Ehrenkreutz, 504). There is not a consensus in the secondary literature as to whether wariq/waraq was always an interchangeable term with dirham aswad. While Bresc interprets them as one and the same, Goitein estimates that black dirhams could have an exchange value as low as 100 to 1 dīnār, whereas wariq/waraq dirhams had a higher value of 50 to 1 (Goitein, MS I, 388). Assuming that these coinage types were the same, the variation Goitein uncovered might be explained by the fact that the fineness of low-quality dirhams was often inconsisent and led to multiple attempts by Ayyubid sultans at abolishing their production/circulation (Bates, 73; Ehrenkreutz, 504).",coin; Medieval; Fatimid; Ayyubid,,ENA 4047.11r line 3 (upper); ENA 3691.6r line 1 (lower),Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Bresc, Cécile. ""Quseir al-Qadim: a Hoard of Islamic Coins from the Ayyubid period."" Revue Numismatique 164.6 (2008): 407-436.

►Ehrenkreutz, Andrew S. ""Contributions to the Knowledge of the Fiscal Administration of Egypt in the Middle Ages."" Bulletin of the School of Oriental and African Studies 16, no. 3 (1954): 502-514.

►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967."
ccg0103,wayba_file.jpg,wayba,ويبة ויבה,,Judaeo-Arabic,image/jpeg,"Unit of volume for grain in the medieval and early modern periods that Goitein notes ""comprised about 15 liters (approximately 4 gallons) and the irdabb consisted of 6 waybas"" (Goitein, MS I, 361). ",unit of volume; Medieval and Early Modern,,T-S 8J13.14v line 4,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967."
ccg0104,yuzluk_file.jpg,yüzlük,יוזליס יוזלך يوزلك,,"Ottoman Turkish, Judaeo-Spanish",image/jpeg,"Silver coin minted in the Ottoman Empire, first under Sultan Selim III in 1789 CE. As is implied by its title, the yüzlük held a hypothetical value of 100 para/medin or 2.5 kuruş (Uslu et. al., 216). Although it's possible that this coin was transliterated directly from Turkish via the Hebrew alphabet (יוזלך) it's crucial to note that it can also appear with a Judaeo-Spanish plural ending ""yüzles/יוזליס"" as is the case in the image for this entry.",coin; Ottoman; Judaeo-Spanish influence ,1789,ENA 2713.53r line 3,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"► Uslu, Kaan. M. Fatih Beyazit. Tuncay Kara. Osmanlı İmparatorluğu Madeni Paraları - Ottoman Empire Coins 1687 -1839 (AH 1099 -1255). Istanbul: Anka Press, 2010."
ccg0105,yirmilik_file.jpg,yirmilik,يرميلك ירמילך,,Ottoman Turkish,image/jpeg,"Silver coin minted in the Ottoman Empire beginning in the 1690 CE whose value was twenty para or a half kuruş. This valuation is designated within the coin's nomenclature– yirmi = ""twenty"" (Pamuk, 160-162).",coin; Ottoman; currently unattested,1690,Currently Unattested in the Cairo Geniza,,,,,,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0106,zecchino_file.jpg,zecchino,ציקינוש,"sequin, ducat, ducato, ducado, bunduk, şerīfī bunduk, sequin, ducato d'oro, peraḥīm",Italian,image/jpeg,"Gold coin minted by Venetian Republic from 1284CE until its dissolution in 1797CE, known in English as ducat or sequin, that came to be known widely as zecchino in the early modern period. Other equivalent labels of significance for the Ottoman empire include efrenciye, flori, and bunduk (Pamuk, 65, 99). In geniza sources and other documents from the pre-modern eastern Mediterranean great care must be taken not to misidentify the Venetian gold ducat as a Florentine gold florin. While the latter circulated at comparatively lower rates of distribution in the eastern Mediterranean and ceased production after 1533CE, the Venetian gold ducat can appear ambiguously in Hebrew as פרחים or as a direct loanword in other languages with flori which again translates to ""flowers"" in regional variants of Italian. ",coin; Venetian; Medieval and Early Modern,1284,T-S 20.67r line 28,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0107,zolota_file.jpg,zolota,زولطة זולטה,,"Ottoman Turkish, Polish",image/jpeg,"Silver-copper alloy coin minted in the Ottoman Empire beginning in 1690 CE that replicated features of the Polish zloty ""which was imported in large quanitites by Dutch merchants during the seventeenth century"" (Pamuk, 160). The Ottoman zolota ""coins were about one third smaller than Dutch thalers. Their weight was fixed in standard dirhams and they contained 60 percent silver and forty percent copper. The largest of these weighed six dirhams, or approximately 19.2 grams. It appears that this first large coin was intended as a zolota or cedid (new) zolota to distinguish it from the popular Polish coin and not as a kuruş"" (Ibid,160).",coin; Ottoman; currently unattested,1690,Currently Unattested in the Cairo Geniza,,,,,,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
